Order Date,Region,Sales Channel,Category,Product Name,Quantity,Unit Price,Total Sales,Profit
2023-01-01,North,Online,Office Supplies,Printer Paper,23,23.67,544.41,109.86
2023-01-01,West,In-Store,Office Supplies,Stapler,17,8.67,147.39,57.16
2023-01-02,Central,Online,Furniture,Office Chair,2,101.24,202.48,78.59
2023-01-02,South,Online,Furniture,Bookshelf,15,194.91,2923.65,929.8
2023-01-02,South,Online,Electronics,Headphones,23,143.56,3301.88,1607.67
2023-01-02,West,Online,Office Supplies,Stapler,5,8.66,43.3,16.85
2023-01-03,West,Online,Office Supplies,Binder Pack,6,23.19,139.14,50.61
2023-01-03,Central,In-Store,Electronics,Laptop,17,2002.04,34034.68,15147.5
2023-01-03,East,Online,Electronics,Headphones,19,193.3,3672.7,1118.6
2023-01-04,South,Online,Office Supplies,Pen Box,5,13.7,68.5,14.03
2023-01-04,East,Online,Office Supplies,Pen Box,3,10.13,30.39,14.43
2023-01-05,North,In-Store,Electronics,Smartphone,17,1085.8,18458.6,5378.65
2023-01-05,West,Distributor,Furniture,Bookshelf,20,145.69,2913.8,1050.39
2023-01-05,Central,Online,Office Supplies,Pen Box,19,19.44,369.36,88.76
2023-01-06,South,Online,Electronics,Headphones,10,97.55,975.5,314.46
2023-01-06,South,Online,Furniture,Desk,23,484.93,11153.39,5535.29
2023-01-06,Central,Online,Office Supplies,Binder Pack,16,31.95,511.2,137.85
2023-01-06,Central,Online,Furniture,Bookshelf,12,87.39,1048.68,380.83
2023-01-07,North,In-Store,Furniture,Office Chair,20,468.26,9365.2,4506.56
2023-01-07,North,Online,Office Supplies,Printer Paper,6,19.75,118.5,26.39
2023-01-07,East,Online,Furniture,Desk,16,516.95,8271.2,2485.25
2023-01-07,West,Distributor,Electronics,Smartphone,14,726.46,10170.44,3807.48
2023-01-07,Central,In-Store,Electronics,Monitor,5,305.83,1529.15,588.05
2023-01-08,North,Online,Electronics,Headphones,6,275.11,1650.66,374.8
2023-01-09,East,In-Store,Electronics,Smartphone,13,445.63,5793.19,2594.91
2023-01-09,East,In-Store,Office Supplies,Printer Paper,23,28.09,646.07,168.76
2023-01-09,West,Online,Office Supplies,Pen Box,23,12.99,298.77,147.68
2023-01-09,East,Online,Furniture,Office Chair,23,138.9,3194.7,720.6
2023-01-09,South,Distributor,Furniture,Bookshelf,15,89.87,1348.05,663.37
2023-01-10,Central,Online,Office Supplies,Pen Box,20,7.64,152.8,69.02
2023-01-10,North,Distributor,Electronics,Monitor,13,277.35,3605.55,1141.92
2023-01-11,North,Online,Office Supplies,Stapler,20,7.3,146.0,32.91
2023-01-11,South,Online,Furniture,Office Chair,14,126.33,1768.62,778.55
2023-01-11,South,Online,Electronics,Smartphone,9,1139.79,10258.11,4076.66
2023-01-12,North,Online,Office Supplies,Pen Box,9,11.48,103.32,26.47
2023-01-12,West,Online,Office Supplies,Stapler,5,11.69,58.45,13.82
